source_file,policy,pressure,workload,scan_id,offset_after_scan,request_id,ok,prompt_tokens,cached_tokens,hit_rate,ttft_ms,latency_ms
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,11,w4-hot-000122,True,234,3,0.01282051282051282,688.4792894124985,688.4792894124985
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,12,w4-hot-000123,True,267,3,0.011235955056179775,721.3418930768967,721.3418930768967
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,13,w4-hot-000124,True,300,3,0.01,723.007719963789,723.007719963789
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,14,w4-hot-000125,True,333,3,0.009009009009009009,722.4486581981182,722.4486581981182
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,15,w4-hot-000126,True,366,3,0.00819672131147541,724.874023348093,724.874023348093
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,16,w4-hot-000127,True,400,3,0.0075,736.6845309734344,736.6845309734344
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,17,w4-hot-000128,True,195,170,0.8717948717948718,644.9222192168236,644.9222192168236
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,18,w4-hot-000129,True,227,202,0.8898678414096917,642.6752544939518,642.6752544939518
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,19,w4-hot-000130,True,259,234,0.9034749034749034,644.9202299118042,644.9202299118042
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,20,w4-hot-000131,True,291,266,0.9140893470790378,644.3292163312435,644.3292163312435
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,21,w4-hot-000132,True,323,298,0.9226006191950464,643.689326941967,643.689326941967
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,22,w4-hot-000133,True,355,330,0.9295774647887324,644.2293077707291,644.2293077707291
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,23,w4-hot-000134,True,388,363,0.9355670103092784,643.2635113596916,643.2635113596916
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,24,w4-hot-000135,True,421,396,0.9406175771971497,644.4938369095325,644.4938369095325
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,25,w4-hot-000136,True,454,429,0.9449339207048458,643.8274905085564,643.8274905085564
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,26,w4-hot-000137,True,195,170,0.8717948717948718,643.4839889407158,643.4839889407158
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,27,w4-hot-000138,True,234,208,0.8888888888888888,643.8806392252445,643.8806392252445
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000002,28,w4-hot-000139,True,267,241,0.9026217228464419,642.5056792795658,642.5056792795658
