workload,trace,policy,pool_size,requests,prompt_tokens,cached_tokens,hit_rate,insert_prefix_hits,evict_calls,evicted_tokens,final_cache_tokens,max_cache_tokens,elapsed_sec
w4,w4_main_seed20260708,lfu,10000,2550,995940,494157,0.49617145611181396,494157,847,491906,9877,9999,0.7570047630000545
w4,w4_main_seed20260708,lfu,45000,2550,995940,613912,0.6164146434524168,613912,788,340918,41110,45000,1.3751012169999512
w4,w4_main_seed20260708,lfu,90000,2550,995940,632146,0.6347229752796353,632146,403,275227,88567,90000,2.037846338999998
w4,w4_main_seed20260708,lfu,180000,2550,995940,638496,0.6410988613771914,638496,406,177457,179987,179997,3.2945177550000153
w4,w4_main_seed20260708,fifo,10000,2550,995940,360557,0.36202682892543725,360557,673,627124,8259,9999,0.7739328440000008
w4,w4_main_seed20260708,fifo,45000,2550,995940,565264,0.5675683274092816,565264,358,386656,44020,45000,1.303945021000004
w4,w4_main_seed20260708,fifo,90000,2550,995940,617714,0.6202321424985441,617714,621,288242,89984,90000,2.0560096760000306
w4,w4_main_seed20260708,fifo,180000,2550,995940,636818,0.6394140209249554,636818,59,179363,179759,179991,3.194428433999974
w4,w4_main_seed20260708,slru,10000,2550,995940,494157,0.49617145611181396,494157,847,491906,9877,9999,0.7489734380000073
w4,w4_main_seed20260708,slru,45000,2550,995940,613912,0.6164146434524168,613912,788,340918,41110,45000,1.2709802580000087
w4,w4_main_seed20260708,slru,90000,2550,995940,632146,0.6347229752796353,632146,403,275227,88567,90000,2.1121591679999483
w4,w4_main_seed20260708,slru,180000,2550,995940,638496,0.6410988613771914,638496,406,177457,179987,179997,3.438707562000104
w4,w4_main_seed20260708,2q,10000,2550,995940,483949,0.485921842681286,483949,873,502292,9699,9999,0.9374823230000402
w4,w4_main_seed20260708,2q,45000,2550,995940,607894,0.6103721107697251,607894,748,346842,41204,45000,1.4375791349999645
w4,w4_main_seed20260708,2q,90000,2550,995940,631558,0.6341325782677671,631558,318,274645,89737,90000,2.163860760000034
w4,w4_main_seed20260708,2q,180000,2550,995940,638250,0.6408518585456955,638250,701,177703,179987,179995,3.642347596000036
